student_id,gender,ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
559,male,group D,associate's degree,free/reduced,none,28,10,32
560,female,group A,high school,free/reduced,none,32,28,70
561,male,group D,some high school,free/reduced,none,70,34,31
562,female,group C,master's degree,standard,completed,48,46,96
563,male,group B,some college,free/reduced,none,33,96,51
564,male,group E,associate's degree,free/reduced,completed,8,45,0
565,female,group C,some college,standard,none,80,70,86
566,female,group C,some college,free/reduced,none,50,13,51
567,female,group E,associate's degree,free/reduced,completed,6,24,6
568,male,group E,bachelor's degree,free/reduced,none,79,12,3
569,male,group C,associate's degree,free/reduced,completed,82,22,11
570,female,group A,high school,standard,none,87,30,54
571,male,group D,some college,free/reduced,none,37,80,77
572,male,group A,associate's degree,free/reduced,completed,32,9,21
573,male,group D,associate's degree,standard,completed,22,25,36
574,female,group D,associate's degree,standard,completed,77,97,1
575,male,group B,some college,standard,none,99,76,87
576,male,group E,master's degree,standard,none,86,77,50
577,female,group B,associate's degree,standard,completed,96,40,67
578,male,group A,master's degree,standard,completed,28,64,35
579,male,group C,high school,free/reduced,completed,25,17,75
580,female,group A,master's degree,free/reduced,completed,96,82,23
581,female,group E,high school,free/reduced,completed,89,56,42
582,female,group E,associate's degree,free/reduced,none,20,89,96
583,female,group E,associate's degree,free/reduced,none,65,51,58
584,male,group B,master's degree,free/reduced,none,96,71,11
585,female,group E,some college,free/reduced,none,69,92,4
586,male,group A,some high school,free/reduced,none,53,12,27
587,female,group A,master's degree,free/reduced,completed,59,13,58
588,female,group D,master's degree,standard,none,41,27,78
589,male,group D,high school,free/reduced,none,86,7,7
590,female,group C,bachelor's degree,standard,none,0,100,71
591,male,group E,associate's degree,standard,completed,23,47,20
592,female,group E,some college,free/reduced,completed,11,52,73
593,female,group E,some high school,standard,none,63,44,33
594,male,group C,some college,standard,none,51,86,95
595,male,group C,some high school,standard,none,80,44,90
596,female,group D,master's degree,free/reduced,none,45,32,87
597,female,group E,master's degree,free/reduced,none,36,32,65
598,female,group B,master's degree,standard,completed,36,41,40
599,male,group C,master's degree,standard,completed,62,19,42
600,female,group B,some college,free/reduced,completed,94,75,86
601,female,group E,associate's degree,free/reduced,none,52,81,50
602,male,group D,master's degree,free/reduced,completed,77,26,81
603,female,group C,some college,free/reduced,none,40,23,58
604,male,group D,some college,standard,none,20,57,47
605,male,group B,high school,standard,completed,88,5,28
606,female,group E,bachelor's degree,standard,none,17,42,13
607,male,group B,associate's degree,free/reduced,completed,95,8,27
608,male,group D,master's degree,free/reduced,none,38,31,54
609,female,group C,some college,standard,none,55,6,71
610,female,group D,bachelor's degree,standard,completed,46,71,22
611,male,group E,bachelor's degree,standard,none,27,39,59
612,female,group A,some college,free/reduced,completed,31,48,43
613,male,group B,some high school,standard,none,36,30,50
614,male,group B,high school,standard,completed,78,79,88
615,female,group A,some college,free/reduced,completed,17,69,49
616,female,group B,some high school,free/reduced,none,60,91,52
617,male,group A,some college,standard,completed,69,36,70
618,male,group B,associate's degree,standard,none,66,7,96
619,female,group C,master's degree,free/reduced,none,63,65,3
620,female,group B,associate's degree,free/reduced,completed,32,76,93
621,male,group D,associate's degree,free/reduced,none,79,35,80
622,female,group D,master's degree,free/reduced,none,16,77,26
623,female,group B,associate's degree,standard,none,3,41,79
624,male,group E,some high school,free/reduced,none,89,68,2
625,male,group D,some high school,free/reduced,none,34,51,37
626,male,group E,associate's degree,free/reduced,none,59,18,8
627,female,group E,high school,standard,completed,92,15,26
628,female,group E,master's degree,free/reduced,none,71,87,43
629,female,group E,master's degree,free/reduced,none,89,12,80
630,male,group E,master's degree,standard,completed,11,82,20
631,male,group C,some high school,standard,completed,82,57,72
632,male,group E,some college,free/reduced,none,86,22,29
633,male,group C,bachelor's degree,standard,none,61,85,18
634,male,group A,high school,standard,completed,53,68,52
635,female,group E,high school,standard,completed,92,0,7
636,female,group C,bachelor's degree,standard,completed,72,86,56
637,female,group D,master's degree,standard,none,18,57,87
638,female,group D,some college,standard,completed,36,56,7
639,male,group E,high school,free/reduced,completed,21,54,19
640,male,group E,associate's degree,free/reduced,completed,82,97,38
641,female,group D,high school,standard,completed,88,96,55
642,male,group D,some college,standard,completed,47,35,17
643,male,group A,high school,free/reduced,completed,35,3,92
644,female,group C,bachelor's degree,free/reduced,completed,67,43,100
645,female,group D,bachelor's degree,standard,none,77,78,80
646,female,group C,associate's degree,free/reduced,completed,58,75,56
647,male,group E,high school,standard,completed,32,36,43
648,female,group B,associate's degree,standard,completed,49,85,82
649,male,group D,associate's degree,free/reduced,none,25,83,60
650,male,group B,associate's degree,free/reduced,none,73,62,84
651,female,group D,high school,free/reduced,completed,37,4,12
652,male,group D,bachelor's degree,standard,completed,54,16,20
653,male,group B,some college,free/reduced,none,96,67,2
654,female,group A,some college,standard,none,61,11,51
655,male,group E,master's degree,free/reduced,completed,76,37,37
656,female,group D,master's degree,free/reduced,completed,68,5,7
657,female,group E,associate's degree,free/reduced,none,5,86,31
658,female,group E,high school,free/reduced,none,11,98,44
659,male,group C,associate's degree,free/reduced,completed,21,84,55
660,male,group D,associate's degree,standard,none,51,77,23
661,female,group B,associate's degree,free/reduced,completed,11,62,46
662,female,group D,master's degree,standard,completed,65,82,88
663,male,group E,high school,free/reduced,none,48,13,1
664,female,group D,bachelor's degree,free/reduced,none,33,43,29
665,female,group C,some high school,free/reduced,none,0,40,97
666,female,group D,associate's degree,standard,none,16,42,37
667,male,group B,bachelor's degree,free/reduced,completed,76,78,64
668,male,group B,some college,standard,none,87,99,5
669,female,group B,master's degree,standard,none,2,54,91
670,female,group D,high school,free/reduced,none,40,31,46
671,male,group A,some college,standard,none,67,99,78
672,female,group D,high school,free/reduced,none,5,49,96
673,male,group D,associate's degree,standard,none,78,89,36
674,female,group C,high school,free/reduced,completed,85,97,78
675,male,group D,some college,free/reduced,none,34,3,67
676,male,group E,some high school,free/reduced,none,64,97,98
677,female,group C,some college,free/reduced,none,82,86,80
678,male,group A,some college,standard,none,49,93,65
679,female,group E,some high school,standard,completed,8,78,65
680,female,group B,master's degree,free/reduced,none,4,1,30
681,male,group B,some high school,standard,none,96,70,84
682,female,group A,bachelor's degree,free/reduced,none,56,36,37
683,male,group D,high school,free/reduced,completed,77,51,72
684,female,group D,bachelor's degree,standard,completed,79,16,21
685,male,group B,bachelor's degree,free/reduced,completed,2,59,33
686,male,group B,associate's degree,standard,none,100,97,77
687,female,group D,high school,standard,completed,89,83,84
688,male,group C,high school,standard,none,27,19,94
689,male,group A,some high school,standard,none,3,19,83
690,female,group D,some high school,free/reduced,completed,94,34,9
691,female,group B,some college,free/reduced,completed,56,54,80
692,male,group E,bachelor's degree,standard,completed,49,64,51
693,female,group E,associate's degree,standard,none,9,35,96
694,female,group B,associate's degree,free/reduced,completed,64,25,26
695,female,group E,some high school,free/reduced,completed,27,69,80
696,male,group D,high school,standard,none,6,13,83
697,female,group B,some high school,free/reduced,none,37,0,26
698,female,group E,master's degree,standard,none,52,11,49
699,female,group A,master's degree,free/reduced,none,90,28,82
700,male,group E,some high school,standard,completed,99,38,78
701,female,group B,bachelor's degree,free/reduced,completed,48,1,76
702,male,group B,bachelor's degree,standard,none,37,64,64
703,female,group D,bachelor's degree,free/reduced,none,84,33,91
704,male,group D,master's degree,free/reduced,none,16,44,21
705,male,group A,bachelor's degree,standard,none,29,16,48
706,male,group B,some college,standard,completed,52,84,86
707,female,group D,high school,standard,none,18,90,93
708,male,group C,some high school,standard,none,10,83,4
709,female,group C,some college,standard,completed,36,28,53
710,female,group C,associate's degree,standard,completed,94,13,16
711,female,group A,associate's degree,free/reduced,completed,36,52,59
712,female,group A,bachelor's degree,free/reduced,completed,4,5,86
713,female,group D,some college,free/reduced,none,29,32,62
714,female,group A,some high school,free/reduced,completed,78,60,22
715,male,group A,bachelor's degree,standard,none,3,27,61
716,male,group C,master's degree,standard,completed,73,89,34
717,male,group A,master's degree,standard,none,60,34,8
718,female,group B,bachelor's degree,standard,none,7,88,45
719,female,group B,associate's degree,free/reduced,completed,85,61,80
720,female,group E,some high school,free/reduced,none,79,41,67
721,female,group D,some high school,standard,completed,49,0,87
722,female,group D,some high school,free/reduced,completed,43,49,10
723,male,group E,some college,free/reduced,completed,42,3,86
724,female,group D,some college,standard,completed,52,61,67
725,female,group D,master's degree,standard,completed,70,81,87
726,male,group D,master's degree,standard,completed,48,77,74
727,male,group D,bachelor's degree,free/reduced,completed,22,50,1
728,male,group C,some college,free/reduced,none,28,58,63
729,female,group A,master's degree,free/reduced,none,20,79,65
730,male,group D,master's degree,free/reduced,none,82,72,30
731,female,group E,associate's degree,free/reduced,none,82,84,32
732,male,group C,some high school,standard,completed,56,93,4
733,male,group D,high school,free/reduced,none,24,96,97
734,female,group B,associate's degree,free/reduced,none,19,52,58
735,male,group E,high school,free/reduced,completed,4,95,84
736,male,group A,some high school,free/reduced,none,44,80,75
737,female,group A,master's degree,standard,completed,22,65,43
738,male,group D,bachelor's degree,standard,completed,42,59,86
739,male,group C,high school,free/reduced,none,8,69,31
740,male,group B,bachelor's degree,free/reduced,none,62,70,1
741,female,group C,some college,standard,completed,63,95,69
742,female,group A,bachelor's degree,standard,completed,60,68,18
743,male,group A,high school,standard,none,35,26,38
744,male,group D,high school,standard,none,13,88,1
745,female,group B,associate's degree,standard,none,7,40,87
746,female,group C,bachelor's degree,standard,none,79,5,28
747,male,group C,master's degree,free/reduced,completed,67,49,80
748,male,group E,high school,standard,completed,93,9,4
749,male,group B,master's degree,free/reduced,none,24,85,12
750,male,group D,bachelor's degree,standard,completed,34,8,65
751,female,group A,master's degree,standard,none,61,89,51
752,male,group C,bachelor's degree,standard,completed,14,86,32
753,female,group A,master's degree,free/reduced,completed,52,52,69
754,male,group E,bachelor's degree,standard,none,65,3,66
755,female,group A,some college,free/reduced,completed,64,23,64
756,male,group A,associate's degree,standard,completed,57,66,40
757,male,group A,high school,standard,completed,17,79,97
758,male,group C,associate's degree,standard,completed,56,4,45
759,female,group A,bachelor's degree,free/reduced,none,43,30,80
760,female,group A,some high school,standard,none,85,64,66
761,male,group E,some high school,free/reduced,none,33,28,67
762,male,group C,master's degree,standard,completed,60,51,3
763,female,group E,some high school,free/reduced,none,31,96,24
764,male,group D,high school,standard,completed,67,2,36
765,male,group E,some high school,free/reduced,completed,44,7,84
766,male,group B,some college,standard,none,34,92,18
767,female,group B,associate's degree,free/reduced,completed,84,81,70
768,male,group A,master's degree,free/reduced,completed,67,42,10
769,male,group D,some college,standard,none,45,22,99
770,male,group D,high school,free/reduced,none,96,45,86
771,female,group A,master's degree,free/reduced,completed,89,77,60
772,male,group D,high school,standard,none,51,22,2
773,male,group C,associate's degree,free/reduced,completed,36,71,33
774,female,group A,associate's degree,standard,none,63,81,41
775,female,group B,high school,free/reduced,completed,91,7,50
776,male,group E,bachelor's degree,standard,completed,42,59,5
777,male,group B,some high school,free/reduced,completed,32,62,4
778,male,group A,associate's degree,standard,none,5,28,49
779,male,group C,some high school,free/reduced,none,68,93,62
780,male,group B,some high school,free/reduced,none,43,26,14
781,male,group B,master's degree,standard,completed,21,65,71
782,female,group A,bachelor's degree,free/reduced,none,2,66,8
783,male,group E,some college,standard,completed,9,75,12
784,female,group E,associate's degree,free/reduced,none,75,17,46
785,female,group C,bachelor's degree,free/reduced,completed,24,2,53
786,female,group B,master's degree,standard,none,64,76,78
787,male,group D,some college,free/reduced,none,83,30,24
788,male,group C,high school,free/reduced,completed,30,58,85
789,female,group C,bachelor's degree,free/reduced,none,30,23,64
790,female,group C,master's degree,standard,completed,6,19,75
791,male,group E,master's degree,free/reduced,completed,68,0,44
792,male,group E,bachelor's degree,standard,completed,29,39,25
793,female,group C,master's degree,free/reduced,completed,15,36,67
794,male,group E,high school,standard,none,74,62,90
795,female,group D,high school,free/reduced,none,19,17,78
796,male,group D,associate's degree,free/reduced,completed,48,27,57
797,female,group E,some college,standard,none,87,81,2
798,female,group A,bachelor's degree,free/reduced,completed,62,44,90
799,male,group E,associate's degree,standard,none,75,72,25
800,male,group D,associate's degree,standard,completed,4,94,43
801,male,group C,master's degree,standard,none,52,18,50
802,male,group A,high school,standard,completed,44,81,78
803,male,group A,high school,standard,none,94,43,68
804,male,group D,some college,free/reduced,none,37,45,52
805,male,group C,associate's degree,free/reduced,none,65,87,35
806,female,group A,master's degree,standard,completed,49,3,9
807,male,group B,high school,free/reduced,none,50,70,50
808,male,group E,master's degree,free/reduced,none,58,27,22
809,female,group B,some college,standard,completed,37,12,33
810,female,group E,some college,standard,none,39,28,60
811,male,group D,associate's degree,free/reduced,none,57,59,69
812,female,group D,some college,free/reduced,completed,83,51,9
813,male,group E,high school,standard,completed,37,36,29
814,female,group E,some high school,free/reduced,completed,92,93,21
815,female,group E,high school,standard,completed,17,56,14
816,female,group C,master's degree,free/reduced,completed,27,23,17
817,female,group C,high school,standard,none,25,40,48
818,female,group C,bachelor's degree,free/reduced,none,8,12,34
819,male,group A,some high school,free/reduced,completed,88,54,58
820,female,group B,some college,standard,none,83,99,83
821,male,group B,some high school,standard,completed,49,0,43
822,male,group E,some college,free/reduced,completed,59,13,10
823,female,group C,high school,free/reduced,none,2,92,23
824,female,group E,some high school,free/reduced,none,57,16,23
825,male,group D,some college,standard,none,24,53,36
826,male,group C,some college,standard,completed,76,66,18
827,male,group C,high school,standard,completed,46,36,34
828,female,group C,some college,standard,none,9,65,20
829,male,group D,high school,free/reduced,none,33,80,35
830,female,group C,master's degree,free/reduced,completed,49,82,83
831,female,group D,some college,free/reduced,none,23,22,83
832,female,group C,associate's degree,free/reduced,none,1,21,6
833,female,group D,some college,free/reduced,none,51,2,39
834,male,group C,associate's degree,free/reduced,completed,83,42,83
835,female,group A,master's degree,standard,completed,31,66,42
836,male,group C,bachelor's degree,free/reduced,none,98,56,38
837,male,group C,bachelor's degree,free/reduced,completed,49,89,76
838,female,group C,high school,standard,none,17,2,30
839,male,group D,master's degree,free/reduced,none,2,93,7
840,female,group A,associate's degree,free/reduced,none,71,12,5
841,female,group B,master's degree,free/reduced,none,29,0,54
842,male,group D,some college,free/reduced,none,99,87,25
843,female,group C,high school,standard,completed,81,69,15
844,male,group D,bachelor's degree,standard,none,70,95,62
845,male,group C,high school,standard,completed,62,63,78
846,male,group E,some college,standard,completed,70,18,48
847,male,group C,associate's degree,standard,none,74,79,42
848,female,group C,high school,free/reduced,none,10,37,79
849,male,group B,high school,free/reduced,none,43,78,13
850,male,group D,some college,standard,completed,90,48,9
851,male,group D,master's degree,standard,completed,70,16,5
852,female,group C,master's degree,free/reduced,completed,93,33,78
853,male,group D,high school,standard,none,23,66,41
854,female,group A,some college,standard,none,65,28,19
855,male,group D,bachelor's degree,free/reduced,none,55,62,17
856,female,group C,some high school,free/reduced,completed,49,21,77
857,male,group D,master's degree,standard,completed,48,61,26
858,male,group B,master's degree,free/reduced,none,100,28,19
859,female,group E,master's degree,standard,completed,51,93,92
860,male,group C,master's degree,free/reduced,none,19,31,14
861,male,group E,high school,standard,none,55,17,73
862,female,group C,associate's degree,free/reduced,none,18,87,86
863,male,group C,bachelor's degree,standard,none,77,26,40
864,male,group C,some college,free/reduced,none,98,33,33
865,male,group D,high school,free/reduced,none,12,76,13
866,female,group C,associate's degree,free/reduced,none,46,58,40
867,male,group B,bachelor's degree,free/reduced,none,4,87,74
868,male,group A,some high school,standard,none,62,18,40
869,male,group B,associate's degree,free/reduced,completed,96,77,5
870,female,group B,associate's degree,free/reduced,completed,83,48,99
871,female,group E,bachelor's degree,standard,none,37,70,3
872,female,group D,bachelor's degree,free/reduced,none,23,78,7
873,female,group B,associate's degree,standard,none,70,35,70
874,male,group D,some high school,standard,completed,51,86,96
875,female,group D,high school,free/reduced,none,22,97,95
876,female,group E,master's degree,free/reduced,completed,66,83,88
877,female,group A,associate's degree,standard,completed,82,8,59
878,male,group E,associate's degree,free/reduced,none,77,31,67
879,female,group C,associate's degree,standard,none,72,25,17
880,female,group D,bachelor's degree,free/reduced,completed,2,77,50
881,female,group A,some college,standard,completed,32,29,84
882,female,group D,bachelor's degree,free/reduced,completed,38,76,13
883,female,group E,some college,free/reduced,completed,81,12,37
884,male,group C,some high school,standard,none,51,100,65
885,male,group B,bachelor's degree,free/reduced,none,88,73,68
886,female,group A,bachelor's degree,free/reduced,completed,91,14,92
887,male,group D,bachelor's degree,free/reduced,completed,54,65,88
888,female,group C,some college,free/reduced,completed,89,56,68
889,male,group B,high school,standard,none,45,79,72
890,male,group C,master's degree,free/reduced,none,84,36,16
891,male,group C,master's degree,free/reduced,none,22,100,39
892,male,group D,some college,standard,completed,29,85,28
893,female,group B,bachelor's degree,standard,none,61,64,10
894,female,group C,associate's degree,free/reduced,completed,87,33,97
895,female,group C,master's degree,standard,none,23,88,25
896,male,group A,some high school,standard,none,91,20,88
897,female,group A,high school,standard,none,27,39,34
898,male,group B,associate's degree,free/reduced,none,20,78,92
899,female,group C,master's degree,standard,completed,55,41,86
900,female,group A,associate's degree,standard,none,77,44,9
901,female,group C,some high school,free/reduced,completed,99,19,42
902,male,group A,some college,free/reduced,completed,25,78,5
903,female,group C,bachelor's degree,free/reduced,completed,69,39,71
904,female,group E,some college,standard,none,28,86,1
905,male,group C,high school,standard,completed,37,82,97
906,male,group C,master's degree,standard,completed,50,74,40
907,female,group E,high school,standard,completed,15,9,65
908,male,group A,some college,free/reduced,completed,96,32,20
909,male,group B,some high school,standard,none,7,3,26
910,female,group B,associate's degree,standard,none,61,48,44
911,female,group C,master's degree,free/reduced,completed,22,97,42
912,male,group E,bachelor's degree,standard,none,84,20,3
913,male,group B,some college,standard,completed,58,31,49
914,female,group A,bachelor's degree,free/reduced,none,92,39,89
915,male,group D,associate's degree,free/reduced,completed,79,29,33
916,female,group D,some college,standard,completed,73,3,64
917,male,group B,bachelor's degree,standard,completed,6,91,53
918,female,group E,associate's degree,free/reduced,completed,68,9,57
919,female,group B,bachelor's degree,free/reduced,completed,6,35,91
920,male,group A,some high school,standard,none,67,70,0
921,male,group A,bachelor's degree,standard,none,81,98,83
922,male,group D,some college,standard,completed,30,80,96
923,male,group D,master's degree,free/reduced,completed,52,44,83
924,female,group B,some high school,standard,completed,47,74,51
925,male,group E,associate's degree,free/reduced,none,60,59,60
926,male,group B,some high school,standard,none,58,8,64
927,female,group B,some high school,standard,completed,26,32,86
928,male,group E,some high school,free/reduced,none,38,37,50
929,male,group E,associate's degree,free/reduced,none,27,52,67
930,female,group E,associate's degree,standard,none,95,98,14
931,male,group A,bachelor's degree,standard,completed,43,0,93
932,male,group D,associate's degree,free/reduced,completed,1,49,22
933,male,group B,some college,free/reduced,completed,32,74,64
934,female,group D,some college,free/reduced,none,8,41,47
935,male,group C,some college,free/reduced,completed,27,53,14
936,male,group D,master's degree,free/reduced,none,67,70,97
937,male,group E,associate's degree,standard,completed,29,15,15
938,male,group D,some high school,free/reduced,none,97,37,93
939,female,group B,bachelor's degree,standard,none,25,65,22
940,male,group A,associate's degree,free/reduced,none,30,57,0
941,female,group D,master's degree,free/reduced,completed,46,77,83
942,female,group A,some college,free/reduced,completed,81,52,6
943,female,group A,associate's degree,free/reduced,none,34,30,20
944,female,group E,some college,standard,completed,35,27,22
945,male,group A,high school,free/reduced,completed,35,14,57
946,male,group A,some high school,standard,completed,60,49,78
947,female,group B,some high school,free/reduced,none,40,91,49
948,female,group A,bachelor's degree,free/reduced,completed,74,36,4
949,male,group E,some college,free/reduced,completed,60,25,48
950,female,group C,some college,free/reduced,completed,20,69,56
951,male,group C,master's degree,standard,none,54,43,99
952,female,group A,bachelor's degree,free/reduced,completed,48,81,81
953,female,group A,master's degree,standard,completed,91,70,59
954,female,group A,some high school,free/reduced,completed,78,95,0
955,female,group D,some high school,standard,none,8,74,33
956,female,group A,some high school,free/reduced,none,58,20,48
957,female,group B,bachelor's degree,standard,none,2,48,53
958,female,group A,bachelor's degree,standard,none,50,53,39
959,male,group A,master's degree,free/reduced,none,78,79,72
960,male,group D,some high school,standard,none,55,6,94
961,male,group E,some college,free/reduced,completed,70,91,28
962,female,group D,master's degree,free/reduced,completed,8,6,26
963,male,group D,bachelor's degree,standard,none,79,36,68
964,male,group C,some college,free/reduced,completed,5,1,93
965,female,group E,bachelor's degree,free/reduced,none,76,76,97
966,female,group C,associate's degree,free/reduced,none,94,28,83
967,female,group B,bachelor's degree,standard,none,22,22,96
968,male,group D,bachelor's degree,standard,none,57,96,14
969,male,group E,some high school,standard,none,69,21,47
970,male,group A,bachelor's degree,standard,none,61,41,70
971,male,group E,bachelor's degree,standard,completed,31,9,81
972,male,group B,master's degree,free/reduced,completed,41,57,78
973,female,group B,master's degree,free/reduced,none,25,83,19
974,female,group A,some college,standard,none,35,68,31
975,female,group B,master's degree,standard,completed,45,51,75
976,female,group B,some high school,free/reduced,completed,2,94,52
977,female,group A,master's degree,free/reduced,completed,16,9,92
978,female,group C,master's degree,free/reduced,completed,3,71,69
979,male,group D,associate's degree,free/reduced,completed,6,83,37
980,female,group A,associate's degree,free/reduced,completed,94,36,38
981,male,group B,some high school,standard,completed,30,96,82
982,female,group E,some high school,standard,none,79,89,69
983,male,group C,bachelor's degree,standard,completed,63,87,77
984,female,group B,bachelor's degree,free/reduced,completed,31,80,28
985,male,group C,associate's degree,free/reduced,none,71,63,3
986,male,group C,bachelor's degree,standard,completed,12,27,69
987,female,group E,bachelor's degree,free/reduced,none,69,38,48
988,male,group B,associate's degree,free/reduced,completed,51,5,41
989,female,group B,bachelor's degree,standard,none,100,25,57
990,female,group A,master's degree,free/reduced,completed,82,27,56
991,male,group B,some high school,standard,completed,86,6,0
992,female,group D,associate's degree,free/reduced,completed,73,29,46
993,female,group C,bachelor's degree,standard,none,94,25,35
994,female,group A,associate's degree,free/reduced,none,48,7,62
995,female,group A,some high school,free/reduced,none,52,69,62
996,female,group D,some college,standard,completed,56,39,87
997,male,group C,master's degree,standard,none,84,66,93
998,female,group C,high school,free/reduced,completed,3,91,83
999,female,group B,master's degree,free/reduced,completed,97,86,23
1000,male,group E,associate's degree,standard,completed,55,52,37
